loc,trait,name,sum_sq,df,F,PR(>F)
Glyma.18G245200,water_soluble_protein,Residual,2333.433949,132,NA,NA
Glyma.04G034600,water_soluble_protein,C(type),161.2754339,2,4.206527391,0.016622157
Glyma.04G034600,water_soluble_protein,Residual,2990.467594,156,NA,NA
Glyma.08G182300,water_soluble_protein,C(type),261.1991412,1,12.40162523,0.000560891
Glyma.08G182300,water_soluble_protein,Residual,3327.746449,158,NA,NA
Glyma.01G225000,water_soluble_protein,C(type),301.3458437,2,7.000819613,0.001221337
Glyma.01G225000,water_soluble_protein,Residual,3400.504936,158,NA,NA
Glyma.19G083300,water_soluble_protein,C(type),156.0323969,1,7.04627678,0.008745413
Glyma.19G083300,water_soluble_protein,Residual,3543.031914,160,NA,NA
Glyma.13G250500,water_soluble_protein,C(type),207.6046809,2,4.822219257,0.009288031
Glyma.13G250500,water_soluble_protein,Residual,3358.031696,156,NA,NA
Glyma.06G205900,water_soluble_protein,C(type),365.68794,2,9.140137592,0.000176868
Glyma.06G205900,water_soluble_protein,Residual,3100.698985,155,NA,NA
Glyma.18G223700,water_soluble_protein,C(type),186.1356563,2,4.251164257,0.015955382
Glyma.18G223700,water_soluble_protein,Residual,3371.41655,154,NA,NA
Glyma.13G216100,water_soluble_protein,C(type),268.1956223,2,6.235582108,0.00252409
Glyma.13G216100,water_soluble_protein,Residual,3118.262623,145,NA,NA
Glyma.18G071400,water_soluble_protein,C(type),388.062327,2,10.25361022,6.67E-05
Glyma.18G071400,water_soluble_protein,Residual,2857.403887,151,NA,NA
Glyma.12G098900,water_soluble_protein,C(type),164.9550065,1,8.646721627,0.003785583
Glyma.12G098900,water_soluble_protein,Residual,2918.807507,153,NA,NA
Glyma.18G223000,water_soluble_protein,C(type),205.6502621,2,4.725144174,0.010250637
Glyma.18G223000,water_soluble_protein,Residual,3220.667737,148,NA,NA
Glyma.20G239400,water_soluble_protein,C(type),93.54728367,1,4.104754238,0.044571634
Glyma.20G239400,water_soluble_protein,Residual,3350.127657,147,NA,NA
Glyma.17G256000,water_soluble_protein,C(type),334.8034364,1,15.94270639,9.88E-05
